CBRNIAC_Number	AD_Number	Site_Holding	Title	Author(s)	Report_Number	Publish_Date	Corp_Author_Name	Distribution_Statement	Document_Classification
CB-056617	404900	CB DT DW 506880	Some Influences of Immunization and Virulence Enhancement on the Pathogenesis of Anthrax.	Klein, Frederick Lincoln, Ralph E.	TM-31	1963-04-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors; No automatic	U
CB-056621	404479	CB DT DW 528786 EDG E504553	Assay of Staphylococcal Enterotoxin. Technical Report No. 7, 1 January-31 March 1963.	McIntosh, Max Duggan, Dennis	TR-7	1963-04-15	MIDWEST RESEARCH INST KANSAS CITY MO	Distribution limited to US Gov't agencies and their contractors;	U
CB-056852	344958	CB DT DW 41501	Physical and Biological Stability Studies of Botulinum Toxin. Quarterly Report No. 12, 1 August-1	Hawrylewicz, E. J. Riesen, W. H.	L6003-12	1963-11-09	IIT RESEARCH INST CHICAGO IL	Distribution Controlled. All requests for this document shall be referred to	U
CB-056855	341908	CB DT DW 44455	Feasibility Study of the Large-scale Production of XR. Technical Report, 1 October-31 December	Johnson, D. E. Keary, W. V. Thayer, P. S.	61-FDS-1672 DTC-72-744 CRDL-62-S-610	1963-01-04	LITTLE (ARTHUR D) INC CAMBRIDGE MA	Distribution authorized to US Gov't agencies and their contractors. Other	C
CB-056856	340095	CB DT DW 37501	Staphylococcal Enterotoxin B: Characteristics and Biological Effects.	Rapoport, Morton I. Dangerfield, Harry G. Summers, Phebe W.	IS-64-7-77	1963-08-01	ARMY MEDICAL UNIT FREDERICK MD	Distribution limited to US Gov't agencies and their contractors. Other requests	C
CB-056858	336919	CB DT DW 524252	Stability of Toxic Protein Aerosols.	Weinstock, Albert	ARF-L-6007-3	1963-06-11	IIT RESEARCH INST CHICAGO IL	Distribution limited to US Gov't agencies and their contractors;	U
CB-056859	336092	CB DT DW 39417	Physical and Biological Stability Studies of Botulinum Toxin.	Hawrylewicz, E. J. Sowinski, R.	ARFL-6003-6	1963-05-10	IIT RESEARCH INST CHICAGO IL	Distribution limited to US Gov't agencies and their contractors;	U
CB-056860	334390	CB DT DW 530253	Physical and Biological Stability Studies of Botulinum Toxin.	Riesen, W. H. Sowinski, R.	L-6003-3	1963-02-01	IIT RESEARCH INST CHICAGO IL	Distribution Controlled. All requests for this document shall be referred to US	U
CB-056871	299869	CB DT DW 60025	Immunization against Plague by a Specific Fraction of Pasteurella pseudoturberculosis. Technical	Lawton, W. D. Surgalla, M. J.	ABL-TM-25	1963-03-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-056873	298346	CB DT DW 529729 EDG E503461	Research Relative to the Mode of Action of Staphylococcal Enterotoxin.	Sugiyama, H.		1963-02-10	CHICAGO UNIV ILL FOOD RESEARCH INST	Distribution limited to US Gov't agencies and their contractors.	U
CB-056875	297863	CB DT DW	Procurement and Isolation of Biologically Active Substances Derived from Natural Sources.	Nelson, George J.		1963-02-28	LOMA LINDA UNIV CALIF	Approved for Public Release; Distribution Unlimited.	U
CB-056879	295610	CB DT DW 528784 EDG E504552	Assay of Staphylococcal Enterotoxin. Technical Report No. 6, 1 October-31 December 1962.	Duggan, Dennis McIntosh, Max	TR-6	1963-01-17	MIDWEST RESEARCH INST KANSAS CITY MO	Distribution limited to US Gov't agencies and their contractors;	U
CB-062805		CB DW 537670 EDG E490334	Feasibility Study, Marking, Tracking and Identification System Progress Report No. 4, 28 October-		PR-4	1963-10-28	LEESONA CORP GREAT NECK NY LEESONA MOOS LABS DIV	Distribution limited to DoD agencies only.	C
CB-062953		CB DW 538421	Dugway Proving Ground Operating Program, 1963-1967. Target Year FY 1963, Appendix I to		DPG-63-0805	1963-04-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C/NOFORN
CB-062959		CB DW 538424	Dugway Proving Ground Operating Schedule, 1 October 1963.		DPG-63-1941	1963-10-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C/NOFORN
CB-063324		CB DW 537121	Mauler Technical Development Plan, 1 January 1963.		RCS CSCRD-21(RI)	1963-01-01	ARMY MISSILE COMMAND REDSTONE ARSENAL AL	Distribution limited to DoD agencies only.	C
CB-063444		CB DW 537303	Quarterly Progress Report, April-June 1963, Directorate of Biological Operatons.			1963-09-25	PINE BLUFF ARSENAL AR	Distribution limited to DoD agencies only.	C
CB-063445		CB DW 537304	Quarterly Progress Report, October-December 1962, Directorate of Biological Operations.			1963-02-25	PINE BLUFF ARSENAL AR	Distribution limited to DoD agencies only.	C
CB-063467		CB DW 537390	Quarterly Progress Report, January-March 1963, Directorate of Biological Operations.			1963-05-20	PINE BLUFF ARSENAL AR	Distribution limited to DoD agencies only.	C
CB-063470		CB DW 537391	Quarterly Progress Report, July-September 1963, Directorate of Biological Operations.			1963-11-25	PINE BLUFF ARSENAL AR	Distribution limited to DoD agencies only.	C
CB-064640		CB DW 30348	Record of Test MD-1950.			1963-10-01	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MUNITIONS	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989.	C
CB-064641		CB DW 30352	UC Weapon System Program. Technical Progress Report, January-June 1963.	Bentley, Frederick, Jr. Callahan, Lawrence E. Hedstrom, George E.	DPG-63-2388	1963-06-01	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MUNITIONS	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989.	C
CB-064786		CB DW 37602	US Army Biological Warfare Laboratories Operating Program, FY 1963, Annex C, Research and		IS-66-6-85 62-FDS-1429	1963-01-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to DoD agencies only.	C
CB-064789		CB DW 37980	Semiannual Technical Summary, 1 April-30 September 1963, Virology Research Division.	Gorelick, Author N.		1963-09-30	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD VIROLOGY	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C
CB-064790		CB DW 38008	Expenditure Order Report, 1 July-30 September 1963, Technical Evaluation Division.			1963-09-30	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD TECHNICAL	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C/NOFORN
CB-064874		CB DW 38928 EDG E495741	Semiannual Technical Summary, 1 April-30 September 1963, Physical Sciences Division.	Zentner, Robert J.		1963-09-12	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PHYSICAL	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C
CB-064877		CB DW 39176	Semiannual Technical Summary, 1 October 1962-31 March 1963, Physical Sciences Division.	Zentner, Robert J.		1963-03-08	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PHYSICAL	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C
CB-064879		CB DW 39185	Semiannual Technical Summary, 1 October 1962-31 March 1963, Medical Bacteriology Division.	Leonard, Frederic A.		1963-03-15	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MEDICAL	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C
CB-064906		CB DW 39294	Final Flight Report CML-484-08, 3 February 1963.	Hoffmann, Henry E.		1963-02-03	NEW MEXICO STATE UNIV LAS CRUCES PHYSICAL SCIENCE LAB	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C
CB-064949		CB DW 42490	A/B 45Y-1 System Field Tests.	Schaerholz, R. J.	FTE-246	1963-05-24	FAIRCHILD STRATOS CORP HAGERSTOWN MD AIRCRAFT-MISSILES DIV	Distribution limited to DoD agencies only.	C
CB-064966		CB DW 46599	XYA-31546.			1963-09-26	FORT DETRICK FREDERICK MD	Distribution limited to DoD agencies only.	C
CB-064967		CB DW 46600	XYA-31533.		DTC-72-719 MIL-A-51089A	1963-09-26	FORT DETRICK FREDERICK MD	Distribution limited to DoD agencies only.	C
CB-064969		CB DW 46641	Semiannual Progress Report for Period Ending 30 June 1963, Process Development Division.			1963-06-30	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PROCESS	Distribution limited to DoD agencies only.	C
CB-065535		CB DW 562605	Current References in Medical Entomology from Russian, Eastern European and Chinese	Anastos, George	410456	1963-11-27	MARYLAND UNIV COLLEGE PARK DEPT OF ZOOLOGY	Approved for Public Release; Distribution Unlimited.	U
CB-066280		CB DW 562361	Natural Foci of Human Infections.	Pavlovskii, E. N.		1963-01-01	ISRAEL PROGRAM FOR SCIENTIFIC TRANSLATIONS LTD JERUSALEM	Approved for Public Release; Distribution Unlimited. Copyrighted Material.	U
CB-066300		CB DW 40148	Semiannual Technical Summary, 1 April-30 September 1963, Medical Bacteriology Division.			1963-09-15	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MEDICAL	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C
CB-066409		CB DW 41848	Minutes of the 63rd Meeting of the Quadripartite CBR Standardization Committee Held at			1963-10-18	QUADRIPARTITE ARMIES	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-066411		CB DW 39398 EDG E494907	Minutes of the 60th Meeting of the Quadripartite CBR Standardization Committee Held at Fort		QCSC-S-30-63 63-FDS-1028	1963-03-28	QUADRIPARTITE ARMIES	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
CB-066414		CB DW 39209	Minutes of the 59th Meeting of the Quadripartite CBR Standardization Committee Held at Canadian			1963-02-14	QUADRIPARTITE ARMIES	Distribution limited to DoD agencies only. For Official Use Only.	S
CB-066629		CB DW 50975	Study to Evaluate Bird Species.			1963-12-20	DESERET TEST CENTER FORT DOUGLAS UT	Distribution limited to US Gov't agencies only; Test and Evaluation; Feb 1989.	C/NOFORN
CB-066993		CB DW 49397	Summary Progress Report, 30 September 1962-1 July 1963, Entomology-Aerobiology Divisions.	Gilford, James H. Berendt, Richard F.	DTC-72-922	1963-08-22	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD ENTOMOLOGY	Distribution limited to DoD agencies only.	C
CB-067376		CB DW 504543 EDG E484575	Porton Field Trial Report No. 606.	Owen, A. R.	PFTR-606	1963-01-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-067714		CB DW 50534	Quarterly Technical Report, 1 January-31 March 1963, Aerobiology Division.	Berendt, Richard F. Brown, Elinor M.	DTC-72-154 63-FDS-1427	1963-06-26	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD APPLIED	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989.	C
CB-067875		CB DW 50535	Final Report on Special Antimaterial Test.	Glick, Dudley P.	SOD-TP-40	1963-07-25	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies only; Test and Evaluation; Mar 1989.	C
CB-069203		CB DW 505800	Biological Weapons Employment. Manual, May 1963.		FM-3-10A DPG-62-0831	1963-05-01	ARMY CHEMICAL BIOLOGICAL RADIOLOGICAL AGENCY FORT MCCLELLAN	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
CB-069461		CB DW 562727	Proceedings of the International Northwest Conference on Diseases in Nature Communicable to			1963-08-21	DEPARTMENT OF AGRICULTURE VANCOUVER (BRITISH COLUMBIA)	Distribution limited to US Gov't agencies and their contractors.	U
CB-069552		CB DW 535903	Development of a Missile Warhead, 1 January-31 March 1963.		0166-02(03)QP	1963-07-08	AEROJET-GENERAL CORP DOWNEY CA ORDNANCE DIV	Distribution limited to DoD agencies only.	C
CB-069728		CB DW 524802 DW 536246	CBR Operational Summary for Force Development.		DPG-63-2362 DPG-63-410	1963-01-01	ASSISTANT CHIEF OF STAFF FOR FORCE DEVELOPMENT (ARMY)	Distribution limited to DoD agencies only.	S
CB-070079		CB DW 39396	Expenditure Order Report, 1 January-31 March 1963, Technical Evaluation Division.	Idoine, Leon S.		1963-03-31	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD TECHNICAL	Distribution authorized to US Gov't agencies only; Test and Evaluation; Feb	C
CB-070116		CB DW 41192	Annex to Agreement No. TN-20-MWP-A-62.		TN-20-MWP-A-62	1963-01-01	NATIONAL DEFENCE RESEARCH ORGANIZATION TNO RIJSWIJK	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-070952		CB DW 508434	Fifty-fifth Quarterly Progress Notes on the Activity of Defence Research Chemical Laboratories and			1963-01-01	DEFENCE RESEARCH BOARD OTTAWA (ONTARIO)	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-070980		CB DW 47554	Summary of Field Trials, Status Report No. 31.		SR-31	1963-06-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Dec 1988.	S
CB-071769		CB DW 512405	Title Classified.			1963-08-29	NAVAL WEAPONS LAB DAHLGREN VA	Distribution limited to DoD agencies only.	C
CB-071940		CB DW 50869	XYA-96415.		DTC-72-366 MIL-A-51089B	1963-09-26	FORT DETRICK FREDERICK MD	Distribution limited to US Gov't agencies only; Test and Evaluation; Mar 1989.	S
CB-072269		CB DW 50919 EDG E471123	Agent XR Summary Report, June 1963.	Silver, S. D.	CRDL-SP-5 EA-S-83-63 DTC-71-694 CRDL-TL-63-S-497	1963-06-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to DoD agencies only.	S
CB-072557		CB DW 525471	Project Pharos. Third Comprehensive Report on Sensitivity Analysis of Operational Effectiveness:	Eyler, R. C. McGill, J. A. Weaver, B. D. Lipps, R. D.	ORI-64-106-A TR-224 DTC-64-1117	1963-11-15	OPERATIONS RESEARCH INC SILVER SPRING MD	Distribution limited to DoD agencies only.	C
CB-072730		CB DW 524803	Notes of Preliminary Meeting, 18 January 1963.		DTC-63-457	1963-01-18	DEPARTMENT OF DEFENCE CANBERRA (AUSTRALIA)	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-072766		CB DW 502061 EDG E484760	Porton Note No. 256, August 1963.	Lewis, G. J. Banfield, J. N.	PN-256	1963-08-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD agencies only; Foreign Government Information.	R
CB-072804		CB DW 525780 EDG E484579	The Penetration of Built-up Areas by Aerosols at Night. Porton Field Trial Report No. 610.	Collins, G. F. Banfield, J. N.	PFTR-610 DTC-64-630 H0527640062	1963-03-26	CHEMICAL DEFENCE ESTABLISHMENT PORTON DOWN (UNITED KINGDOM)	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-074152		CB DW 535483 EDG E497876	Meeting of the CBR Agency Advisory Council and Committees, 13-14 December 1962, Army	Lewis, Patricia J.	AC-63-SRD-41 CRDL-TL-63-SRD-382 H0382630050 CRDL-004-8-1	1963-05-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN/RD
CB-074277		CB DW 507665	Scientific Intelligence Study, 1963-1968.		DPG-63-0725 SIS-88	1963-03-22	CENTRAL INTELLIGENCE AGENCY WASHINGTON DC SCIENTIFIC AND	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
CB-074298		CB DW 507704	Porton Technical Paper No. 842.	Kemp, K. H. Shephard, R. J.	PTP-842	1963-02-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-074299		CB DW 507707	Porton Technical Paper No. 846.	Letts, H. J. R. Henville, A.	PTP-846 DPG-63-0937	1963-01-14	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-074390		CB DW 535484	Meeting of the Edgewood Arsenal CBR Advisory Council, 11-12 July 1963 at Fort Detrick,	Vogt, Tyree C.	AC-63-S-82 DPG-63-2377	1963-11-01	EDGEWOOD ARSENAL ABERDEEN PROVING GROUND MD	Distribution limited to DoD agencies only.	S
CB-074460		CB DW 524698	Extra-continental Test Report, FY 1963.		DPG-62-0602 DTC-62-66	1963-10-01	OFFICE OF THE CHIEF CHEMICAL OFFICER (ARMY) WASHINGTON DC	Distribution limited to DoD agencies only.	S
CB-074479		CB DW 524707	A Project Summit Report.	Strausz-Hupe, Robert Krieger, K. A.		1963-04-30	PENNSYLVANIA UNIV PHILADELPHIA FOREIGN POLICY RESEARCH INST	Distribution limited to DoD agencies only.	C
CB-074493		CB DW 524729	Project DESERET. Annual Historical Summary, 1 July 1963-30 June 1964.		DTC-64-1096	1963-07-01	DESERET TEST CENTER FORT DOUGLAS UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989.	C
CB-074531		CB DW 524756	Readiness Position of Chemical, Biological Weapons and Defense Systems.		DTC-63-17	1963-01-01	DEPARTMENT OF THE ARMY WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-074534		CB DW 524763	Agent CS.	Stubbs, Marshall	DTC-63-94	1963-02-05	DEPUTY CHIEF OF STAFF FOR MILITARY OPERATIONS (ARMY)	Distribution limited to DoD agencies only.	S
CB-074535		CB DW 524764	Deseret Test Center in 1962.	Davis, Sherman L.	DTC-63-95	1963-01-01	ARMY CHEMICAL-BIOLOGICAL-RADIOLOGICAL ENGINEERING GROUP ARMY	Distribution limited to DoD agencies only.	C
CB-074539		CB DW 524767 EDG E500093	United States Air Force Research, Development, Test and Evaluation Plan for Chemical and		DTC-63-580 EA-S-246-63	1963-06-01	ARMY AIR FORCES WASHINGTON DC	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-074541		CB DW 524770	United States Navy Research, Development, Test and Evaluation Plan for Chemical and Biological		DTC-63-624	1963-08-01	DEPARTMENT OF THE NAVY WASHINGTON DC	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-074542		CB DW 524773 EDG E499466	Project CHORD. Informal Monthly Progress Report No. 26, 1-31 August 1963.		DTC-63-643 IMPR-26 CRDL-63-S-985 CRDL-TL-64-S-428	1963-08-31	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-074545		CB DW 524777	Information -- Security Guidance for Night Train. Deseret Test Center Test Plan No. 64-5.		DTC-63-695 DTC-TP-64-5	1963-10-31	DESERET TEST CENTER FORT DOUGLAS UT	Distribution limited to US Gov't agencies only; Test and Evaluation; NOFORN. 1	C/NOFORN
CB-074547		CB DW 524779 EDG E499467	Project CHORD. Informal Monthly Progress Report No. 27, 1-30 September 1963.		IMPR-27 DTC-63-731 CRDL-63-S-1067 CRDL-TL-64-S-932	1963-09-30	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-074550		CB DW 524785 EDG E499468	Project CHORD. Informal Monthly Progress Report No. 28, 1-31 October 1963.		IMPR-28 CRDL-63-S-1199 CRDL-TL-64-S-430	1963-10-01	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-074552		CB DW 524797	Mathematical, Statistical, and Operation Research Services.		CAL-P-187 DTC-63-360	1963-06-17	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to DoD agencies only.	C
CB-074738		CB DW 524830	GAM-83 Special Purpose Warhead Feasibility Demonstration Program Design Study Test Program.	Cook, S. A.	OR-3227 DTC-64-1319	1963-05-01	DESERET TEST CENTER DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-074747		CB DW 524796 EDG E504032	Biological and Chemical Weapons and Defense Program, DoD Project No. 112. Status Report, May	DeCarlo, M. R.		1963-05-28	ASSISTANT CHIEF OF STAFF FOR FORCE DEVELOPMENT (ARMY)	Approved for Public Release; Distribution Unlimited.	U
CB-074748		CB DW 524782 EDG E504033	Biological and Chemical Weapons and Defense Program. DoD Project No. 112. Status Report,			1963-10-01	ASSISTANT CHIEF OF STAFF FOR FORCE DEVELOPMENT (ARMY)	Approved for Public Release; Distribution Unlimited.	U
CB-074770		CB DW 535519 EDG E497875	Summary of the Combined Meeting of Agents and Protective Committees, EA CBR Advisory	Vogt, Tyree C.	AC-63-S-81 CRDL-TL-62-S-822 H0822630022	1963-10-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/REL TO CANUKUS
CB-074792		CB DW 535537 EDG E497913	Digest of Scientific Reports, No. 11, 20 January 1963.	Vogt, Tyree C.	AC-63-S-19 DPG-63-0249 CRDL-TL-63-S-91 H0091630055	1963-01-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/REL TO CANUKUS
CB-074795		CB DW 535538 EDG E497914	Digest of Scientific Reports, No. 12, 20 February 1963.	Vogt, Tyree C.	AC-63-S-36 CRDL-TL-63-S-92 H0092630055	1963-02-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/REL TO CANUKUS
CB-074797		CB DW 535539 EDG E497915	Digest of Scientific Reports, No. 13, 20 March 1963.	Vogt, Tyree C.	AC-63-S-39 DPG-63-0736 CRDL-TL-63-S-383 H0383630055	1963-03-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/REL TO CANUKUS
CB-074887		CB DW 524912 EDG E499470	Project CHORD. Informal Monthly Progress Report No. 30, 1-31 December 1963.		DTC-64-198 IMPR-30 CRDL-64-S-125 CRDL-TL-64-S-121	1963-12-31	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to DoD agencies only.	C
CB-074903		CB DW 524919	NEWRADS. Operational Requirements and Feasibility Study for Amphibious and Landed Forces.		DTC-64-64	1963-09-16	FORD INSTRUMENT CO LONG ISLAND CITY NY MISSILE DEVELOPMENT DIV	Distribution limited to DoD agencies only.	S/RD
CB-074906	C069114	CB DT DW 524920	Army Intelligence Assessment of the Soviet Threat to the US Field Army Through the Next Ten		DTC-64-135	1963-11-01	MISSILE INTELLIGENCE DIRECTORATE REDSTONE ARSENAL AL	Further dissemination only as directed by US Army Foreign Science and	C
CB-074908		CB DW 524927	Review and Appraisal. Quarterly Report No. 2, FY 1964.		DTC-64-287 QR-2	1963-12-31	EDGEWOOD ARSENAL ABERDEEN PROVING GROUND MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
CB-074911		CB DW 524928	Biological Bomblets. Final Technical Report.	Doeringsfeld, K. H.	DTC-64-318	1963-10-10	MINNEAPOLIS-HONEYWELL REGULATOR CO MN	Distribution limited to DoD agencies only.	C
CB-074913		CB DW 524752	Project DESERET.	Fellenz, Lloyd E.	DPG-63-0087 DTC-64-410	1963-01-09	DESERET TEST CENTER FORT DOUGLAS UT	Distribution limited to DoD agencies only.	C
CB-074917		CB DW 524760	Readiness Position of Chemical, Biological Weapons and Defense Systems.		DTC-63-50	1963-01-01	DEPARTMENT OF THE ARMY WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-074919		CB DW 524765	Supplementary Information on Project O/V 31 FY 1962.		DTC-63-103	1963-02-18	NAVAL AIR STATION NORFOLK VA	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
CB-074931		CB DW 524783 EDG E502509	Chemical, Biological Weapons and Defense Systems. Defense System Summary, 1 October 1963.		DTC-63-759 EA-S-1187(63) CRDL-63-S-1226 CRDL-TL-64-S-59 CRDL-TL-65-S-886	1963-10-01	DEPARTMENT OF THE ARMY WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-074932		CB DW 524784	Chemical-Biological Weapons and Defense Systems. Defense System Summary.		DTC-63-760	1963-11-01	DEPARTMENT OF THE ARMY WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-074933		CB DW 524793	Readiness Position of Chemical, Biological Weapons and Defense Systems.		DTC-63-162	1963-02-01	DEPARTMENT OF THE ARMY WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-074936		CB DW 524795	Purchase Description. Chemical Agent BZ -- Wet Cake.		DTC-63-323 PR-196-131-775	1963-06-05	EDGEWOOD ARSENAL ABERDEEN PROVING GROUND MD	Distribution limited to DoD agencies only.	C
CB-074972		CB DW 522482	Engineering Report, October 1963.	Kofmel, K. E. Eng, P.	AEEE-22	1963-10-01	ARMY EQUIPMENT ENGINEERING ESTABLISMENT OTTAWA (ONTARIO)	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-074983		CB DW 522497 EDG E501550	Microbiological Research Establishment Field Trial Report No. 1.	May, K. R.	MRE-FTR-1 CBR-50154	1963-11-01	MICROBIOLOGICAL RESEARCH ESTABLISHMENT SALISBURY (UNITED	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-074984		CB DW 522502 EDG E501548	Microbiological Research Establishment Development Note No. 59.	Norris, K. P.	MRE-DN-59 CML-49369	1963-04-01	MICROBIOLOGICAL RESEARCH ESTABLISHMENT SALISBURY (UNITED	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-074986		CB DW 522503 EDG E501547	Microbiological Research Establishment Development Note No. 58.	Powell, E. O.	MRE-DN-58 CML-49323	1963-04-01	MICROBIOLOGICAL RESEARCH ESTABLISHMENT SALISBURY (UNITED	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-074994		CB DW 522560 EDG E484578	Comparison of the Pick-up of Contamination from Grassland by Cloth Over-boots and Standard	Lewis, G. J.	PFTR-609	1963-07-02	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-075008		CB DW 522653	Letter Report -- Phase I (Study).	Henderson, Robert D.		1963-10-20	MELPAR FALLS CHURCH VA	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-075080		CB DW 522747	Airborne Line Source Disseminator. Bimonthly Progress Report No. 8, September-October 1963.		5939-8 BMPR-8	1963-09-01	EDO CORP COLLEGE POINT NY	Distribution limited to DoD agencies only.	C
CB-075084		CB DW 522749	Airborne Line Source Disseminator. Bimonthly Progress Report No. 4, January-February 1963.		5939-4 BMPR-4	1963-04-16	EDO CORP COLLEGE POINT NY	Distribution limited to DoD agencies only.	C
CB-075089		CB DW 522750	Airborne Line Source Disseminator. Bimonthly Progress Report No. 5, March-April 1963.		BMPR-5 5939-5	1963-05-28	EDO CORP COLLEGE POINT NY	Distribution limited to DoD agencies only.	C
CB-075090		CB DW 522751	Airborne Line Source Disseminator. Bimonthly Progress Report No. 6, May-June 1963.		5939-6 BMPR-6	1963-05-01	EDO CORP COLLEGE POINT NY	Distribution limited to DoD agencies only.	C
CB-075091		CB DW 522752	Airborne Line Source Disseminator. Bimonthly Progress Report No. 3, November-December 1962.		5939-3 BMPR-3	1963-01-25	EDO CORP COLLEGE POINT NY	Distribution limited to DoD agencies only.	C
CB-075200		CB DW 522911	Destruction of Air-borne Biological Warfare Agents in Stowage Magazines by Ultraviolet Radiation.	Crampton, G.	NAEL-ENG-6977	1963-03-05	NAVAL AIR ENGINEERING FACILITY (SHIP INSTALLATIONS) PHILADELPHIA	Distribution limited to DoD agencies only.	C
